day,plans,newplans,droppedplans,profit,spent,wallet usd,totalSpent,btcprice
1,13,0,0,3.6105381,0,5.0398881,0,10995
2,13,0,0,3.6105381,0,8.6504262,0,10995
3,13,0,0,3.6105381,0,12.2609643,0,10995
4,13,0,0,3.6105381,0,15.8715024,0,10995
5,13,0,0,3.6105381,0,19.4820405,0,10995
6,13,0,0,3.6105381,0,23.0925786,0,10995
7,13,0,0,3.6105381,0,26.7031167,0,10995
8,14,1,0,3.6105381,27,3.3136731,0,10995
9,14,0,0,4.1299419,0,7.443615,27,10995
10,14,0,0,4.1299419,0,11.5735569,27,10995
11,14,0,0,4.1299419,0,15.7034988,27,10995
12,14,0,0,4.1299419,0,19.8334407,27,10995
13,14,0,0,4.1299419,0,23.9633826,27,10995
14,15,1,0,4.1299419,27,1.0933428,27,10995
15,15,0,0,4.6493457,0,5.7426885,54,10995
16,15,0,0,4.6493457,0,10.3920342,54,10995
17,15,0,0,4.6493457,0,15.0413799,54,10995
18,15,0,0,4.6493457,0,19.6907256,54,10995
19,15,0,0,4.6493457,0,24.3400713,54,10995
20,16,1,0,4.6493457,27,1.9894353,54,10995
21,16,0,0,5.1687495,0,7.1581848,81,10995
22,16,0,0,5.1687495,0,12.3269343,81,10995
23,16,0,0,5.1687495,0,17.4956838,81,10995
24,16,0,0,5.1687495,0,22.6644333,81,10995
25,17,1,0,5.1687495,27,0.8332011,81,10995
26,17,0,0,5.6881533,0,6.5213544,108,10995
27,17,0,0,5.6881533,0,12.2095077,108,10995
28,17,0,0,5.6881533,0,17.897661,108,10995
29,17,0,0,5.6881533,0,23.5858143,108,10995
30,18,1,0,5.6881533,27,2.2739859,108,10995
31,18,0,0,6.2075571,0,8.481543,135,10995
32,18,0,0,6.2075571,0,14.6891001,135,10995
33,18,0,0,6.2075571,0,20.8966572,135,10995
34,19,1,0,6.2075571,27,0.1042326,135,10995
35,19,0,0,6.7269609,0,6.8311935,162,10995
36,19,0,0,6.7269609,0,13.5581544,162,10995
37,19,0,0,6.7269609,0,20.2851153,162,10995
38,20,1,0,6.7269609,27,0.0120945,162,10995
39,20,0,0,7.2463647,0,7.2584592,189,10995
